onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	164.916	317049	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	0	R1542J
164.916	131.017	481948	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	0	R1542J
295.933	10.349	612961	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	0	R1542J
306.282	0.0	623304	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	0	R1542J
306.282	2.051	623320	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
308.333	1.6	625369	WORD	n/a	n/a	PEN	OfficeSupplies	1	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
309.933	0.916	626963	WORD_OFF	n/a	n/a	PEN	OfficeSupplies	1	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
310.849	1.617	627873	WORD	n/a	n/a	TAPE	OfficeSupplies	2	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
312.466	0.783	629500	WORD_OFF	n/a	n/a	TAPE	OfficeSupplies	2	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
313.249	1.6	630280	WORD	n/a	n/a	CABINET	Furniture	3	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
314.849	1.0	631874	WORD_OFF	n/a	n/a	CABINET	Furniture	3	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
315.849	1.6	632882	WORD	n/a	n/a	DESK	Furniture	4	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
317.449	0.933	634476	WORD_OFF	n/a	n/a	DESK	Furniture	4	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
318.382	1.617	635403	WORD	n/a	n/a	HALLWAY	Building	5	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
319.999	0.967	637029	WORD_OFF	n/a	n/a	HALLWAY	Building	5	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
320.966	1.616	637989	WORD	n/a	n/a	ROOF	Building	6	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
322.582	0.884	639615	WORD_OFF	n/a	n/a	ROOF	Building	6	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
323.466	1.6	640493	WORD	n/a	n/a	TABLE	Furniture	7	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
325.066	0.799	642087	WORD_OFF	n/a	n/a	TABLE	Furniture	7	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
325.865	1.618	642900	WORD	n/a	n/a	SHELF	Furniture	8	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
327.483	0.965	644510	WORD_OFF	n/a	n/a	SHELF	Furniture	8	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
328.448	1.601	645469	WORD	n/a	n/a	NOTEBOOK	OfficeSupplies	9	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
330.049	0.984	647079	WORD_OFF	n/a	n/a	NOTEBOOK	OfficeSupplies	9	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
331.033	1.615	648055	WORD	n/a	n/a	BINDER	OfficeSupplies	10	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
332.648	0.85	649681	WORD_OFF	n/a	n/a	BINDER	OfficeSupplies	10	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
333.498	1.6	650527	WORD	n/a	n/a	STAIRS	Building	11	-1	[0, 0, 0]	n/a	catFR1	0	R1542J
