name	x	y	z	size	group	hemisphere	type	ind.region
RB1	22.5006	-12.9772	-22.3467938804729	6.184	RB	R	depth	insula
RB2	27.7948	-13.0309	-22.0623747139545	6.184	RB	R	depth	insula
RB3	35.2697	-14.4368	-22.5660049189846	6.184	RB	R	depth	insula
RB4	39.8273	-14.3347	-20.4339365533008	6.184	RB	R	depth	insula
RB5	44.2063	-14.5475	-19.0731421180934	6.184	RB	R	depth	superiortemporal
RB6	48.5812	-15.0497	-20.0051025696268	6.184	RB	R	depth	inferiortemporal
RB7	54.0611	-14.6986	-18.6956877421575	6.184	RB	R	depth	middletemporal
RB8	58.7611	-12.7527	-15.6030788723493	6.184	RB	R	depth	middletemporal
RB9	64.5967	-12.4237	-15.1279021002852	6.184	RB	R	depth	middletemporal
RB10	70.321	-13.0211	-16.1396444140115	6.184	RB	R	depth	middletemporal
RA1	11.868	-5.53688	-20.4856349280797	6.184	RA	R	depth	insula
RA2	16.1848	-4.2473	-21.4598026335176	6.184	RA	R	depth	insula
RA3	21.1464	-3.43863	-22.4566110008766	6.184	RA	R	depth	insula
RA4	26.8047	-3.29486	-22.7165699452925	6.184	RA	R	depth	insula
RA5	32.0236	-2.43285	-23.2488201587203	6.184	RA	R	depth	insula
RA6	37.75	-3.09313	-23.2970302839569	6.184	RA	R	depth	insula
RA7	42.0905	-3.30527	-22.3583333767036	6.184	RA	R	depth	superiortemporal
RA8	46.7346	-2.56886	-20.998875868675	6.184	RA	R	depth	superiortemporal
RA9	52.4682	-2.51463	-19.932401453676	6.184	RA	R	depth	middletemporal
RA10	57.3872	-3.06895	-21.4904952558225	6.184	RA	R	depth	middletemporal
RC1	13.3011	-26.3168	-9.15407581664563	6.184	RC	R	depth	parahippocampal
RC2	18.7284	-28.1517	-11.6914509505249	6.184	RC	R	depth	parahippocampal
RC3	23.5816	-28.0426	-12.2790662901851	6.184	RC	R	depth	insula
RC4	27.5877	-29.0409	-13.208387395776	6.184	RC	R	depth	insula
RC5	29.6752	-30.5943	-15.8653213098065	6.184	RC	R	depth	parahippocampal
RC6	34.89	-29.5687	-14.4180712478303	6.184	RC	R	depth	fusiform
RC7	39.6668	-29.1404	-14.3652274686708	6.184	RC	R	depth	inferiortemporal
RC8	44.3698	-30.3481	-15.8704148925142	6.184	RC	R	depth	inferiortemporal
RC9	49.2074	-31.2802	-17.6775321292031	6.184	RC	R	depth	inferiortemporal
RC10	57.9707	-30.2858	-19.5866831195504	6.184	RC	R	depth	inferiortemporal
RF1	21.2731	-36.6489	-11.3256693461805	6.184	RF	R	depth	parahippocampal
RF2	26.2265	-39.0578	-12.3290736239651	6.184	RF	R	depth	fusiform
RF3	30.7586	-41.1065	-11.9532746021523	6.184	RF	R	depth	fusiform
RF4	34.9383	-41.7681	-13.1993391202109	6.184	RF	R	depth	fusiform
RF5	39.6742	-42.6173	-13.8918760423305	6.184	RF	R	depth	inferiortemporal
RF6	45.3305	-44.1536	-13.4273530221465	6.184	RF	R	depth	inferiortemporal
RF7	51.2825	-44.3983	-11.2555242939712	6.184	RF	R	depth	inferiortemporal
RF8	60.154	-44.8626	-8.57822159526996	6.184	RF	R	depth	inferiortemporal
RF9	66.8796	-46.6483	-8.50903394782538	6.184	RF	R	depth	middletemporal
RF10	72.1237	-47.6821	-7.59148783760085	6.184	RF	R	depth	middletemporal
RD1	7.4604	11.9568	30.6044944115537	6.184	RD	R	depth	caudalanteriorcingulate
RD2	11.3247	11.542	31.7824626235538	6.184	RD	R	depth	superiorfrontal
RD3	15.9978	10.6085	32.0079764234946	6.184	RD	R	depth	superiorfrontal
RD4	20.1303	9.55578	33.696445260906	6.184	RD	R	depth	superiorfrontal
RD5	24.6781	7.90269	34.7957848181861	6.184	RD	R	depth	precentral
RD6	28.3708	7.60387	37.2080455105627	6.184	RD	R	depth	caudalmiddlefrontal
RD7	32.9823	8.215	37.612861494736	6.184	RD	R	depth	caudalmiddlefrontal
RD8	40.6303	8.71669	38.5028875240206	6.184	RD	R	depth	caudalmiddlefrontal
RD9	47.3489	8.40837	40.6415626886453	6.184	RD	R	depth	caudalmiddlefrontal
RD10	52.1648	8.73339	44.0777479479908	6.184	RD	R	depth	caudalmiddlefrontal
RQ1	6.62575	37.2635	18.9165328598063	6.184	RQ	R	depth	caudalanteriorcingulate
RQ2	10.4979	37.2215	20.3786671548608	6.184	RQ	R	depth	caudalanteriorcingulate
RQ3	15.3627	36.8002	20.7434904160768	6.184	RQ	R	depth	superiorfrontal
RQ4	19.4538	36.239	20.8363870397379	6.184	RQ	R	depth	superiorfrontal
RQ5	25.0995	36.5452	19.8532031396532	6.184	RQ	R	depth	rostralmiddlefrontal
RQ6	30.6566	38.2796	21.0799449920283	6.184	RQ	R	depth	rostralmiddlefrontal
RQ7	35.8485	40.5963	22.3701024070361	6.184	RQ	R	depth	rostralmiddlefrontal
RQ8	40.1193	40.197	25.5683669302597	6.184	RQ	R	depth	rostralmiddlefrontal
RQ9	45.3075	39.7514	28.705734048738	6.184	RQ	R	depth	rostralmiddlefrontal
RQ10	49.5726	38.9079	31.843136643015	6.184	RQ	R	depth	rostralmiddlefrontal
RY1	41.1974	10.157	-10.2869963991713	6.184	RY	R	depth	insula
RY2	40.6409	9.89463	-4.31088778043253	6.184	RY	R	depth	insula
RY3	39.3998	10.5091	1.99830953290102	6.184	RY	R	depth	insula
RY4	39.8515	12.4975	10.3562196568735	6.184	RY	R	depth	parsopercularis
RY5	40.6334	13.8863	17.3233275978123	6.184	RY	R	depth	parsopercularis
RY6	41.2537	14.6606	22.5306090370893	6.184	RY	R	depth	parsopercularis
RY7	41.2697	18.2332	29.1051715273344	6.184	RY	R	depth	caudalmiddlefrontal
RY8	41.2076	23.6719	35.1784359611494	6.184	RY	R	depth	caudalmiddlefrontal
RY9	41.7374	25.7223	39.6907610651346	6.184	RY	R	depth	caudalmiddlefrontal
RY10	40.1699	25.361	43.9798364322156	6.184	RY	R	depth	caudalmiddlefrontal
RZ1	36.9905	-9.51749	2.70208644711197	6.184	RZ	R	depth	insula
RZ2	36.3096	-9.1782	8.07697119866926	6.184	RZ	R	depth	insula
RZ3	36.5793	-8.21464	14.0039811246067	6.184	RZ	R	depth	postcentral
