onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	4.783	334117	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1617S
4.783	24.498	338900	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1617S
29.281	10.0	363405	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1617S
39.631	0.0	373748	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1617S
39.631	1.967	373748	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
41.598	1.6	375712	WORD	n/a	n/a	MARBLES	Toys	1	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
43.214	0.784	377333	WORD_OFF	n/a	n/a	MARBLES	Toys	1	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
43.998	1.6	378118	WORD	n/a	n/a	FRISBEE	Toys	2	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
45.598	0.784	379710	WORD_OFF	n/a	n/a	FRISBEE	Toys	2	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
46.382	1.6	380495	WORD	n/a	n/a	BEETLE	Insects	3	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
47.982	0.816	382096	WORD_OFF	n/a	n/a	BEETLE	Insects	3	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
48.798	1.6	382911	WORD	n/a	n/a	MOSQUITO	Insects	4	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
50.415	1.0	384532	WORD_OFF	n/a	n/a	MOSQUITO	Insects	4	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
51.415	1.6	385534	WORD	n/a	n/a	DOLPHIN	OceanAnimals	5	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
53.032	0.767	387145	WORD_OFF	n/a	n/a	DOLPHIN	OceanAnimals	5	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
53.799	1.6	387911	WORD	n/a	n/a	OYSTER	OceanAnimals	6	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
55.415	0.933	389531	WORD_OFF	n/a	n/a	OYSTER	OceanAnimals	6	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
56.348	1.6	390464	WORD	n/a	n/a	SPIDER	Insects	7	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
57.964	0.967	392075	WORD_OFF	n/a	n/a	SPIDER	Insects	7	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
58.931	1.6	393047	WORD	n/a	n/a	BUTTERFLY	Insects	8	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
60.531	0.801	394648	WORD_OFF	n/a	n/a	BUTTERFLY	Insects	8	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
61.332	1.6	395444	WORD	n/a	n/a	FOOTBALL	Toys	9	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
62.932	0.765	397045	WORD_OFF	n/a	n/a	FOOTBALL	Toys	9	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
63.697	1.6	397811	WORD	n/a	n/a	BASKETBALL	Toys	10	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
65.315	0.933	399432	WORD_OFF	n/a	n/a	BASKETBALL	Toys	10	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
66.248	1.6	400365	WORD	n/a	n/a	WHALE	OceanAnimals	11	-1	[0, 0, 0]	n/a	catFR1	3	R1617S
