onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	0.011	42886	SESS_START	n/a	n/a	n/a	n/a	-999	0	[0, 0, 0]	n/a	catFR1	4	R1635T
0.011	102.452	42897	TRIAL	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
102.463	10.433	145349	COUNTDOWN	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
112.896	2.151	155782	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
115.047	2.366	157933	WORD	n/a	n/a	PLUM	Fruit	1	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
117.413	2.4	160299	WORD	n/a	n/a	LEMON	Fruit	2	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
119.813	2.532	162699	WORD	n/a	n/a	PASTRY	Desserts	3	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
122.345	2.517	165231	WORD	n/a	n/a	PUDDING	Desserts	4	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
124.862	2.467	167748	WORD	n/a	n/a	OVEN	Appliances	5	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
127.329	2.567	170215	WORD	n/a	n/a	REFRIGERATOR	Appliances	6	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
129.896	2.449	172782	WORD	n/a	n/a	MOUSSE	Desserts	7	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
132.345	2.516	175231	WORD	n/a	n/a	PIE	Desserts	8	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
134.861	2.6	177747	WORD	n/a	n/a	IRON	Appliances	9	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
137.461	2.4	180347	WORD	n/a	n/a	VACUUM	Appliances	10	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
139.861	2.551	182747	WORD	n/a	n/a	PEACH	Fruit	11	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
142.412	1.618	185298	WORD	n/a	n/a	APPLE	Fruit	12	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
144.03	0.0	186916	DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	[0, 0, 0]	n/a	catFR1	4	R1635T
144.03	5.815	186916	PROB	5.799	n/a	n/a	n/a	-999	0	[4, 7, 6]	17.0	catFR1	4	R1635T
149.845	4.133	192731	PROB	4.116	n/a	n/a	n/a	-999	0	[7, 3, 8]	18.0	catFR1	4	R1635T
153.978	3.599	196864	PROB	3.582	n/a	n/a	n/a	-999	0	[1, 3, 1]	5.0	catFR1	4	R1635T
157.577	4.018	200463	PROB	4.0	n/a	n/a	n/a	-999	0	[5, 4, 2]	11.0	catFR1	4	R1635T
161.595	7.237	204481	PROB	5.066	n/a	n/a	n/a	-999	0	[8, 6, 6]	20.0	catFR1	4	R1635T
168.832	4.958	211718	REC_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
173.79	0.335	216676	REC_WORD_VV	4.958	n/a	<>	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
174.125	2.118	217011	REC_WORD	5.293	n/a	PLUM	Fruit	1	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
176.243	2.736	219129	REC_WORD	7.411	n/a	PUDDING	Desserts	4	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
178.979	2.849	221865	REC_WORD	10.147	n/a	LEMONADE	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
181.828	6.311	224714	REC_WORD	12.996	n/a	MOUSSE	Desserts	7	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
188.139	4.414	231025	REC_WORD	19.307	n/a	IRON	Appliances	9	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
192.553	6.437	235439	REC_WORD	23.721	n/a	PANTS	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	4	R1635T
198.99	13.102	241876	TRIAL	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	4	R1635T
212.092	10.349	254978	COUNTDOWN	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	4	R1635T
222.441	2.317	265327	ENCODING_START	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	4	R1635T
224.758	2.616	267644	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BLOCKS	Toys	1	1	[0, 0, 0]	n/a	catFR1	4	R1635T
227.374	2.499	270260	WORD	n/a	wordpools/wordpool_categorized_EN.txt	PUZZLE	Toys	2	1	[0, 0, 0]	n/a	catFR1	4	R1635T
229.873	2.384	272759	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BASS	Instruments	3	1	[0, 0, 0]	n/a	catFR1	4	R1635T
232.257	2.517	275143	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BANJO	Instruments	4	1	[0, 0, 0]	n/a	catFR1	4	R1635T
234.774	2.433	277660	WORD	n/a	wordpools/wordpool_categorized_EN.txt	HURRICANE	Weather	5	1	[0, 0, 0]	n/a	catFR1	4	R1635T
237.207	2.517	280093	WORD	n/a	wordpools/wordpool_categorized_EN.txt	THUNDER	Weather	6	1	[0, 0, 0]	n/a	catFR1	4	R1635T
239.724	2.583	282610	WORD	n/a	wordpools/wordpool_categorized_EN.txt	FRISBEE	Toys	7	1	[0, 0, 0]	n/a	catFR1	4	R1635T
