onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	6.394	32903	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1401J
6.394	34.021	39298	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1401J
40.415	10.367	73316	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1401J
50.782	0.0	83678	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1401J
50.782	1.884	83678	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
52.666	1.615	85571	WORD	n/a	n/a	MOPED	Vehicles	1	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
54.281	0.85	87173	WORD_OFF	n/a	n/a	MOPED	Vehicles	1	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
55.131	1.6	88028	WORD	n/a	n/a	BIKE	Vehicles	2	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
56.731	0.883	89630	WORD_OFF	n/a	n/a	BIKE	Vehicles	2	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
57.614	1.601	90516	WORD	n/a	n/a	VALLEY	Landscapes	3	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
59.215	0.849	92118	WORD_OFF	n/a	n/a	VALLEY	Landscapes	3	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
60.064	1.601	92957	WORD	n/a	n/a	BEACH	Landscapes	4	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
61.665	0.933	94560	WORD_OFF	n/a	n/a	BEACH	Landscapes	4	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
62.598	1.616	95491	WORD	n/a	n/a	LILY	Flowers	5	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
64.214	0.984	97109	WORD_OFF	n/a	n/a	LILY	Flowers	5	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
65.198	1.6	98101	WORD	n/a	n/a	TULIP	Flowers	6	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
66.798	0.85	99703	WORD_OFF	n/a	n/a	TULIP	Flowers	6	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
67.648	1.617	100542	WORD	n/a	n/a	FOREST	Landscapes	7	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
69.265	0.8	102160	WORD_OFF	n/a	n/a	FOREST	Landscapes	7	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
70.065	1.6	102969	WORD	n/a	n/a	ISLAND	Landscapes	8	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
71.665	0.966	104572	WORD_OFF	n/a	n/a	ISLAND	Landscapes	8	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
72.631	1.6	105533	WORD	n/a	n/a	PLANE	Vehicles	9	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
74.231	0.866	107135	WORD_OFF	n/a	n/a	PLANE	Vehicles	9	-1	[0, 0, 0]	n/a	catFR1	1	R1401J
