onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	2.116	8775	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	8	R1495J
2.116	34.417	10886	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	8	R1495J
36.533	10.349	45314	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	8	R1495J
46.882	0.0	55653	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	8	R1495J
46.882	2.084	55653	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
48.966	1.6	57739	WORD	n/a	n/a	PEAS	Vegetables	1	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
50.566	0.8	59342	WORD_OFF	n/a	n/a	PEAS	Vegetables	1	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
51.366	1.616	60143	WORD	n/a	n/a	CUCUMBER	Vegetables	2	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
52.982	0.767	61758	WORD_OFF	n/a	n/a	CUCUMBER	Vegetables	2	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
53.749	1.616	62521	WORD	n/a	n/a	CHIMPANZEE	Zoo	3	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
55.365	0.768	64136	WORD_OFF	n/a	n/a	CHIMPANZEE	Zoo	3	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
56.133	1.617	64906	WORD	n/a	n/a	LION	Zoo	4	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
57.75	0.782	66527	WORD_OFF	n/a	n/a	LION	Zoo	4	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
58.532	1.601	67303	WORD	n/a	n/a	PASTRY	Desserts	5	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
60.133	0.965	68905	WORD_OFF	n/a	n/a	PASTRY	Desserts	5	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
61.098	1.6	69872	WORD	n/a	n/a	JELLO	Desserts	6	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
62.698	0.951	71474	WORD_OFF	n/a	n/a	JELLO	Desserts	6	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
63.649	1.6	72428	WORD	n/a	n/a	SPINACH	Vegetables	7	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
65.249	0.967	74018	WORD_OFF	n/a	n/a	SPINACH	Vegetables	7	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
66.216	1.6	74985	WORD	n/a	n/a	CAULIFLOWER	Vegetables	8	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
67.816	1.0	76587	WORD_OFF	n/a	n/a	CAULIFLOWER	Vegetables	8	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
68.816	1.616	77592	WORD	n/a	n/a	GORILLA	Zoo	9	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
70.432	1.0	79207	WORD_OFF	n/a	n/a	GORILLA	Zoo	9	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
71.432	1.6	80199	WORD	n/a	n/a	MONKEY	Zoo	10	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
73.032	0.999	81801	WORD_OFF	n/a	n/a	MONKEY	Zoo	10	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
74.031	1.601	82806	WORD	n/a	n/a	CAKE	Desserts	11	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
75.632	0.783	84409	WORD_OFF	n/a	n/a	CAKE	Desserts	11	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
76.415	1.6	85184	WORD	n/a	n/a	PIE	Desserts	12	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
78.015	0.001	86787	WORD_OFF	n/a	n/a	PIE	Desserts	12	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
78.016	0.0	86787	ENCODING_END	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
78.016	0.0	86787	DISTRACT_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
78.016	0.0	86792	START	n/a	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	catFR1	8	R1495J
78.016	8.298	86792	PROB	8.298	n/a	n/a	n/a	-999	-1	[2, 5, 6]	13	catFR1	8	R1495J
86.314	2.918	95089	PROB	2.918	n/a	n/a	n/a	-999	-1	[5, 6, 6]	7	catFR1	8	R1495J
89.232	2.849	98007	PROB	2.849	n/a	n/a	n/a	-999	-1	[7, 6, 2]	5	catFR1	8	R1495J
92.081	3.967	100856	PROB	3.967	n/a	n/a	n/a	-999	-1	[6, 7, 7]	20	catFR1	8	R1495J
96.048	3.25	104823	PROB	3.25	n/a	n/a	n/a	-999	-1	[4, 2, 5]	11	catFR1	8	R1495J
99.298	0.0	108064	DISTRACT_END	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
99.298	2.267	108073	STOP	n/a	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	catFR1	8	R1495J
101.565	0.892	110336	REC_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
102.457	0.62	111232	REC_WORD	0.62	n/a	PASTRY	Desserts	5	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
103.077	28.676	111852	REC_WORD	28.676	n/a	CAULIFLOWER	Vegetables	8	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
131.753	5.03	140520	REC_END	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	8	R1495J
136.783	10.349	145556	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	8	R1495J
147.132	0.0	155896	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	8	R1495J
147.132	2.201	155909	ENCODING_START	n/a	n/a	n/a	n/a	-999	1	[0, 0, 0]	n/a	catFR1	8	R1495J
149.333	1.616	158109	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SPANDEX	Fabric	1	1	[0, 0, 0]	n/a	catFR1	8	R1495J
150.949	0.917	159724	WORD_OFF	n/a	n/a	SPANDEX	Fabric	1	1	[0, 0, 0]	n/a	catFR1	8	R1495J
