onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	1.942	27890	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1674A
1.942	24.197	29836	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1674A
26.139	10.353	54025	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1674A
36.492	0.0	64384	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	3	R1674A
36.492	1.892	64384	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
38.384	1.607	66273	WORD	n/a	n/a	BEAR	Zoo	1	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
39.991	0.914	67885	WORD_OFF	n/a	n/a	BEAR	Zoo	1	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
40.905	1.601	68800	WORD	n/a	n/a	CHIMPANZEE	Zoo	2	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
42.506	0.992	70393	WORD_OFF	n/a	n/a	CHIMPANZEE	Zoo	2	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
43.498	1.607	71385	WORD	n/a	n/a	GOAT	FarmAnimals	3	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
45.105	0.951	72997	WORD_OFF	n/a	n/a	GOAT	FarmAnimals	3	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
46.056	1.607	73951	WORD	n/a	n/a	TURKEY	FarmAnimals	4	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
47.663	0.885	75554	WORD_OFF	n/a	n/a	TURKEY	FarmAnimals	4	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
48.548	1.607	76441	WORD	n/a	n/a	LEATHER	Fabric	5	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
50.155	0.8	78043	WORD_OFF	n/a	n/a	LEATHER	Fabric	5	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
50.955	1.6	78844	WORD	n/a	n/a	FLEECE	Fabric	6	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
52.555	0.901	80447	WORD_OFF	n/a	n/a	FLEECE	Fabric	6	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
53.456	1.608	81343	WORD	n/a	n/a	GIRAFFE	Zoo	7	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
55.064	0.932	82955	WORD_OFF	n/a	n/a	GIRAFFE	Zoo	7	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
55.996	1.602	83890	WORD	n/a	n/a	ELEPHANT	Zoo	8	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
57.598	0.898	85493	WORD_OFF	n/a	n/a	ELEPHANT	Zoo	8	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
58.496	1.601	86389	WORD	n/a	n/a	SUEDE	Fabric	9	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
60.097	0.775	87992	WORD_OFF	n/a	n/a	SUEDE	Fabric	9	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
60.872	1.609	88764	WORD	n/a	n/a	WOOL	Fabric	10	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
62.481	0.792	90376	WORD_OFF	n/a	n/a	WOOL	Fabric	10	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
63.273	1.6	91159	WORD	n/a	n/a	HEN	FarmAnimals	11	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
64.873	0.981	92761	WORD_OFF	n/a	n/a	HEN	FarmAnimals	11	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
65.854	1.602	93743	WORD	n/a	n/a	BULL	FarmAnimals	12	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
67.456	0.003	95346	WORD_OFF	n/a	n/a	BULL	FarmAnimals	12	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
67.459	0.0	95346	ENCODING_END	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
67.459	0.001	95348	START	n/a	n/a	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	catFR1	3	R1674A
67.46	0.0	95349	PROB	5.816	n/a	n/a	n/a	-999	-1	[2, 7, 6]	13.0	catFR1	3	R1674A
67.459	5.831	95355	DISTRACT_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	3	R1674A
73.29	3.757	101179	PROB	3.749	n/a	n/a	n/a	-999	-1	[8, 1, 5]	14.0	catFR1	3	R1674A
