onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	164.95	181726	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	2	R1626S
164.95	32.134	346665	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	2	R1626S
197.084	10.349	378800	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	2	R1626S
207.433	0.0	389149	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	2	R1626S
207.433	2.151	389149	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
209.584	1.616	391305	WORD	n/a	n/a	STREAM	Landscapes	1	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
211.2	0.9	392917	WORD_OFF	n/a	n/a	STREAM	Landscapes	1	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
212.1	1.616	393814	WORD	n/a	n/a	FOREST	Landscapes	2	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
213.716	0.801	395435	WORD_OFF	n/a	n/a	FOREST	Landscapes	2	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
214.517	1.616	396237	WORD	n/a	n/a	ELBOW	BodyParts	3	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
216.133	0.867	397849	WORD_OFF	n/a	n/a	ELBOW	BodyParts	3	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
217.0	1.6	398717	WORD	n/a	n/a	TOE	BodyParts	4	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
218.6	0.849	400319	WORD_OFF	n/a	n/a	TOE	BodyParts	4	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
219.449	1.601	401168	WORD	n/a	n/a	OCTOPUS	OceanAnimals	5	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
221.05	0.783	402770	WORD_OFF	n/a	n/a	OCTOPUS	OceanAnimals	5	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
221.833	1.6	403553	WORD	n/a	n/a	FISH	OceanAnimals	6	-1	[0, 0, 0]	n/a	catFR1	2	R1626S
