onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	experiment	session	subject
0.0	25.725	102490	SESS_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
25.725	10.0	128832	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
36.153	3.741	139510	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
39.894	1.6	143340	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
42.493	1.6	146002	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
44.862	1.6	148427	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
47.344	1.6	150969	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
49.746	1.6	153428	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
52.329	1.6	156073	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
54.73	1.6	158532	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
57.197	1.6	161058	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
59.613	1.6	163532	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
62.132	1.6	166111	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
64.514	1.6	168550	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
66.983	1.6	171078	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
68.598	21.938	172732	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
90.536	0.537	195196	PRACTICE_DISTRACT_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
91.073	30.513	195746	PRACTICE_REC_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
121.586	65.768	226990	PRACTICE_REC_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	0	R1221P
187.354	0.0	294334	TRIAL	n/a	n/a	n/a	n/a	-999	1	catFR1	0	R1221P
187.354	10.0	294334	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	1	catFR1	0	R1221P
